text_en,text_sbert
Whenever it rains. this starts over flow. and even at home toilet water enter. I think water is blocked in sewage.,whenever it rains. this starts over flow. and even at home toilet water enter. i think water is blocked in sewage.
"Sir, can you please remove the water pipe from 13th Cross 3rd block. which is causing accidents.","sir, can you please remove the water pipe from 13th cross 3rd block. which is causing accidents."
"Surface of Trees have been concreted on my street, hence these trees will literally fall, since their normal functioning will be effected.  Please save these trees","surface of trees have been concreted on my street, hence these trees will literally fall, since their normal functioning will be effected. please save these trees"
80feet road indiranagar is crowded especially during rush hour. However the shop Just Furniture has put up plastic bollards on the road which is traffic hazard and likely to result in accidents especially for two wheelers. Inspite of their security being informed they have not removed them as they care two hoots for the authorities. Kindly rectify the same. Thanks,80feet road indiranagar is crowded especially during rush hour. however the shop just furniture has put up plastic bollards on the road which is traffic hazard and likely to result in accidents especially for two wheelers. inspite of their security being informed they have not removed them as they care two hoots for the authorities. kindly rectify the same. thanks
There is lit of garbage collection near railway underpass. Again no street lights from railway crossing onwards. The complete road which leads to Thanisandra main road is pitch dark and a risky for pedestrian..also there is a drainage water clogged near railway underpass which is causing lot of traffic jam at the junction which leads to manyata tech park. The problem is so much that it's not possible to walk towards manyata.,there is lit of garbage collection near railway underpass. again no street lights from railway crossing onwards. the complete road which leads to thanisandra main road is pitch dark and a risky for pedestrian..also there is a drainage water clogged near railway underpass which is causing lot of traffic jam at the junction which leads to manyata tech park. the problem is so much that it's not possible to walk towards manyata.
Truck doesn't come in the morning to collect Dry waste on Wednesday and Saturday. Am not sure if they are coming in the noon to collect it.. Usually ppl go-to office and won't be available in the noon. Dry waste has been piling up in the building for almost a month.. Can you please check and ensure the garbage truck comes to collect the waste before 10.30 AM in the morning..,truck doesn't come in the morning to collect dry waste on wednesday and saturday. am not sure if they are coming in the noon to collect it.. usually ppl go-to office and won't be available in the noon. dry waste has been piling up in the building for almost a month.. can you please check and ensure the garbage truck comes to collect the waste before 10.30 am in the morning..
Remove Tree Guards from trees planted on the periphery of Kaggadasapura lake. The trees have now grown well and the guards are strangling the stems.,remove tree guards from trees planted on the periphery of kaggadasapura lake. the trees have now grown well and the guards are strangling the stems.
"This dustbin.. Built by bbmp next to my house. Near Taza Thindi.. Joining the 4 th T Block Bustand.. . People come and dump the garbage.. And the authorities don't clean it at all.. This is there for weeks.. Then why keep a bin.. If nobody wants to clean it.. Pl take necessary action.. The sweeping lady doenot want to touch it, the garbage van person picks it up once in a while.. Authorised people pl take action","this dustbin.. built by bbmp next to my house. near taza thindi.. joining the 4 th t block bustand.. . people come and dump the garbage.. and the authorities don't clean it at all.. this is there for weeks.. then why keep a bin.. if nobody wants to clean it.. pl take necessary action.. the sweeping lady doenot want to touch it, the garbage van person picks it up once in a while.. authorised people pl take action"
Water is leaking in a very large quantity from past one week.,water is leaking in a very large quantity from past one week.
"I am commuter passing through this road everyday. Too many path holes is too danger to travel as well as traffic jam . In front of Sai Driving school speed breaker hump beside big path hole too dangerous
Requesting to fill with tar or concrete.
Thanks",i am commuter passing through this road everyday. too many path holes is too danger to travel as well as traffic jam . in front of sai driving school speed breaker hump beside big path hole too dangerous requesting to fill with tar or concrete. thanks
"The person who comes to collect the garbage is often rude and harsh. This sort of behaviour from the person makes us embarrassing in front of others. The driver behaves well. If there’s any mistake from our side can be highlighted politely and that’s how it works. Very disappointed.

All the neighbours have the same opinion 

We will in 4th cross, gangamma temple road, Mahadevapura","the person who comes to collect the garbage is often rude and harsh. this sort of behaviour from the person makes us embarrassing in front of others. the driver behaves well. if there s any mistake from our side can be highlighted politely and that s how it works. very disappointed. all the neighbours have the same opinion we will in 4th cross, gangamma temple road, mahadevapura"
"Sir/Madam:
I own a site in Omkar Nagar (near Aradhana School). Who is the best person to contact on how I can get A Khata through Akrama-Sakrama scheme.",sir/madam: i own a site in omkar nagar (near aradhana school). who is the best person to contact on how i can get a khata through akrama-sakrama scheme.
This is in Koamangala 5th Block near Jyothi Nivas College infront of the Public toilet. The drainage has been over flowing since many days and the drainage water runs over the road making the whole way smell bad and nasty.,this is in koamangala 5th block near jyothi nivas college infront of the public toilet. the drainage has been over flowing since many days and the drainage water runs over the road making the whole way smell bad and nasty.
"Resudents from Balagere road, Ward 149 has been demanding public toilet in the area. With such a huge area as Balagere area is, there are no public toilets which is considered as a basic civic facility any society would like to have. In fact there shall not be any demand for it, when you have 50+ apartment complexes in & around Balagere, there must be public toilets in some designated spots.","resudents from balagere road, ward 149 has been demanding public toilet in the area. with such a huge area as balagere area is, there are no public toilets which is considered as a basic civic facility any society would like to have. in fact there shall not be any demand for it, when you have 50+ apartment complexes in & around balagere, there must be public toilets in some designated spots."
"Hi Team, 
From 15 years there is no proper road from sunkadakatte to Hegganahalli main road, Earlier BMTC buses where travelling in those patchy roads , now even BMTC buses cant come in that road , they are longer route and even that road is not suitable for 2 vehicles. please do some thing on these .I have attached photos of the road condition.","hi team, from 15 years there is no proper road from sunkadakatte to hegganahalli main road, earlier bmtc buses where travelling in those patchy roads , now even bmtc buses cant come in that road , they are longer route and even that road is not suitable for 2 vehicles. please do some thing on these .i have attached photos of the road condition."
"The road has worn out with multiple potholes. This causes lot of traffic jam. Please fix it.
It's on Mysore road after satellite bus stand while going towards deepanjalinagar. Just before Gali Anjaneya Temple.",the road has worn out with multiple potholes. this causes lot of traffic jam. please fix it. it's on mysore road after satellite bus stand while going towards deepanjalinagar. just before gali anjaneya temple.
Wires are Hanging near Suzuki showroom near Ulsoor metro station,wires are hanging near suzuki showroom near ulsoor metro station
Roads inside owners court West  kasavanahalli are in pathetic conditionno one is building these roads,roads inside owners court west kasavanahalli are in pathetic conditionno one is building these roads
PLEASE TEAM MAKE A PROPER HIGH FOOT PATH AND PLEASE MAKE THEM STOP THE GARBAGE NEAR THE RAILWAY BRIDGE BENNIGANA HALLI THE ENTIRE STRETCH  FROM ICICI BANK TO PAILAYOUT THERE IS NO FOOTPATH AND BROKEN FOOTPATH . THE VEHICLES NEARLY ON US NO PLACE TO WALK ITE SUCH A HORRIBLE DIRTY PLACE . WHY IS THE APP THERE WHEN NO RESPONSE AND RESULTS,please team make a proper high foot path and please make them stop the garbage near the railway bridge bennigana halli the entire stretch from icici bank to pailayout there is no footpath and broken footpath . the vehicles nearly on us no place to walk ite such a horrible dirty place . why is the app there when no response and results
"Dangerous pothole in 1st cross road, behind mcdonalds road in Vijayanagar. Require immediate attention as it is causing lots of minor accidents as vehicles fail to notice and lose control.","dangerous pothole in 1st cross road, behind mcdonalds road in vijayanagar. require immediate attention as it is causing lots of minor accidents as vehicles fail to notice and lose control."
"Since last one month drainage water mixing in cavery water and from last 3 weeks no distribution of cavery water. 
we called so many times to aee and engineers no response from them still no drinking water. 
plz solve the issue as soon as possible",since last one month drainage water mixing in cavery water and from last 3 weeks no distribution of cavery water. we called so many times to aee and engineers no response from them still no drinking water. plz solve the issue as soon as possible
"From about 30 days the darinage construction work is stopped . But it is left open becuase they had to cut the road to complete the work , they delaying it . As there is a turn and no street light , yesterday a big trunk's tyre fell in to it and the loaded truck fell in to our house. 

Moveover there is no street light too on the turning , which is making the situation more worst . 

Please compete the drainage cmenting plastering work as soon as possible and also add a streetlight .","from about 30 days the darinage construction work is stopped . but it is left open becuase they had to cut the road to complete the work , they delaying it . as there is a turn and no street light , yesterday a big trunk's tyre fell in to it and the loaded truck fell in to our house. moveover there is no street light too on the turning , which is making the situation more worst . please compete the drainage cmenting plastering work as soon as possible and also add a streetlight ."
"Need street number signage board for 3rd Cross, Sri Balaji Layout Vittasandra Main road, after nice road bridge","need street number signage board for 3rd cross, sri balaji layout vittasandra main road, after nice road bridge"
"Hi,

There is a vacant plot right in Front of my house which has been converted into a garbage disposal site. There is a lot of garbage lying in that area and whole place stinks. Yesterday, someone set it to fire which is another issue. As far as I know, This also happens because of the reason that the garbage collectors do not visit on the regular basis. Kindly resolve this asap.","hi, there is a vacant plot right in front of my house which has been converted into a garbage disposal site. there is a lot of garbage lying in that area and whole place stinks. yesterday, someone set it to fire which is another issue. as far as i know, this also happens because of the reason that the garbage collectors do not visit on the regular basis. kindly resolve this asap."
"Bad road, making lot of difficulty in driving to school area and making it accident prone area. need urgent action to fix it. thank you.","bad road, making lot of difficulty in driving to school area and making it accident prone area. need urgent action to fix it. thank you."
"2nd main road,11th cross anwar layout Venkateshpuram,the  corner surveillance camera is not working from  more than one month, cameras wire is  removed from the electric lamp. Please re-solve the issue","2nd main road,11th cross anwar layout venkateshpuram,the corner surveillance camera is not working from more than one month, cameras wire is removed from the electric lamp. please re-solve the issue"
"There is road from past 2 years. Everyday bikers fall on road due to very bad condition of road. 
Heavy dust, pathholes. Roads worst during small rains. The main road is of full red mud.","there is road from past 2 years. everyday bikers fall on road due to very bad condition of road. heavy dust, pathholes. roads worst during small rains. the main road is of full red mud."
"Due to non sterilization (Animal Birth control) of stray dogs and chicken shops dumping chicken/Mutton waste raw meat, stray dogs menace in this locality growing very fast. These stray dogs are very aggressive and running behind people in bike or walking. It is difficult for the local residents as well as our layout people to walk alone in the evening. 

Kindly look into this matter and do the needful at your earliest.

Regards,
S2 Avenues Owners Welfare Association","due to non sterilization (animal birth control) of stray dogs and chicken shops dumping chicken/mutton waste raw meat, stray dogs menace in this locality growing very fast. these stray dogs are very aggressive and running behind people in bike or walking. it is difficult for the local residents as well as our layout people to walk alone in the evening. kindly look into this matter and do the needful at your earliest. regards, s2 avenues owners welfare association"
Some mud debris dumped by some body and other debris are not cleared since one week and also damaged drain and foot path over it not fixed several months,some mud debris dumped by some body and other debris are not cleared since one week and also damaged drain and foot path over it not fixed several months
"Team,

The next door builders are continuing to work from 11pm to 6am in the morning.This is disturbing the neighborhood.Please look into this issue","team, the next door builders are continuing to work from 11pm to 6am in the morning.this is disturbing the neighborhood.please look into this issue"
"BBMP's illegal dumping of garbage at Mylasandra quarry near begur. The roads that lead to residential/private properties are riddled with craters and filth that have fallen off from the tractors that carry the garbage. The dumping of garbage goes on all through the night. Every evening, the smoke from burning the garbage is a constant nuisance to children and elderly adults in the vicinity.","bbmp's illegal dumping of garbage at mylasandra quarry near begur. the roads that lead to residential/private properties are riddled with craters and filth that have fallen off from the tractors that carry the garbage. the dumping of garbage goes on all through the night. every evening, the smoke from burning the garbage is a constant nuisance to children and elderly adults in the vicinity."
"Yellow spot is developing in front of Sky Asta Apartments on the newly laid footpath. 

Cabs and autowallahs stop here specifically for urinating. Previously this place had shrubs thereby offering convenient shade for people to urinate. Now the place is upgraded with a neatly laid footpath and newly tarred road. Old habits die hard!!",yellow spot is developing in front of sky asta apartments on the newly laid footpath. cabs and autowallahs stop here specifically for urinating. previously this place had shrubs thereby offering convenient shade for people to urinate. now the place is upgraded with a neatly laid footpath and newly tarred road. old habits die hard!!
Street light not working properly we complanted so many times,street light not working properly we complanted so many times
"Due to lot of street dogs, people are not able to walk in the streets, chasing 2 wheelers..","due to lot of street dogs, people are not able to walk in the streets, chasing 2 wheelers.."
"Even after requesting the concerned person to clear atleast half the road of the cement, nothing had been done. In fact the man threatened us ladies for voicing our concerns. One end of the road has already been blocked due to govt work since almost 15 days. Now the accessible end is blocked my these men. It is extremely difficult for autos or cabs to reach our house. Please take some action.","even after requesting the concerned person to clear atleast half the road of the cement, nothing had been done. in fact the man threatened us ladies for voicing our concerns. one end of the road has already been blocked due to govt work since almost 15 days. now the accessible end is blocked my these men. it is extremely difficult for autos or cabs to reach our house. please take some action."
"Any plans for laying roads in this stretch?

Huskur-Gattahalli-Chikkanayanahalli-Doddakannalli-Kadubeesanahalli

I have been commuting on this road through bike/car for almost 5 years now. Haven't seen any development to this area, other than apartments and high storey buildings. Only noticing roads being digged regularly and not even patching done properly.

Several schools in this stretch - Primus, Gear innovative , Geetanjali Olympiad is there on the way, schools re-opened and the school buses/vans are facing issues with heavy traffic.

People from Electronic city and nearby areas take this route to reach Sarjapur or Marathahalli for work.","any plans for laying roads in this stretch? huskur-gattahalli-chikkanayanahalli-doddakannalli-kadubeesanahalli i have been commuting on this road through bike/car for almost 5 years now. haven't seen any development to this area, other than apartments and high storey buildings. only noticing roads being digged regularly and not even patching done properly. several schools in this stretch - primus, gear innovative , geetanjali olympiad is there on the way, schools re-opened and the school buses/vans are facing issues with heavy traffic. people from electronic city and nearby areas take this route to reach sarjapur or marathahalli for work."
"The dog in front of my house keeps barking day and night. Inspite of requesting with the owner, they aren't doing anything to stop it. The volume of the dog bark is unbareable. Please help me resolve this issue.","the dog in front of my house keeps barking day and night. inspite of requesting with the owner, they aren't doing anything to stop it. the volume of the dog bark is unbareable. please help me resolve this issue."
"Garbage issues is day by day increasing, due to rain stinking smell is increasing. 
need permanent solution.
how can BBMP make place in front of some ones house a garbage point called as point 33.","garbage issues is day by day increasing, due to rain stinking smell is increasing. need permanent solution. how can bbmp make place in front of some ones house a garbage point called as point 33."
"There is no proper road on this side, it is creating huge dust pollution in this area. There are several companies running on this side, if the road comes it will helpful for all.","there is no proper road on this side, it is creating huge dust pollution in this area. there are several companies running on this side, if the road comes it will helpful for all."
Here is the board saying that don't walk on road during 09:00am to 09:00pm near Bangalore fort next to Victoria Hospital. Their is no place to walk in footpath. How can we walk over their..! Please clean the footpath and the vendors over their. Make it fast BBMP,here is the board saying that don't walk on road during 09:00am to 09:00pm near bangalore fort next to victoria hospital. their is no place to walk in footpath. how can we walk over their..! please clean the footpath and the vendors over their. make it fast bbmp
"The junction on Aurobindo Marg and 9th Main Road, Jayanagar 3rd Block is having 5 roads joining at the junction. Traffic rules are violated at this junction every 30 seconds. Be it jumping of signals, rash driving, driving two wheeler without helmets, driving four wheelers without seat belt, stopping vehicles over the zebra crossing etc. It is difficult for cross road and emergency vehicles to pass through from this junction. This junction needs a cop to closely surveillance and fine the offenders.","the junction on aurobindo marg and 9th main road, jayanagar 3rd block is having 5 roads joining at the junction. traffic rules are violated at this junction every 30 seconds. be it jumping of signals, rash driving, driving two wheeler without helmets, driving four wheelers without seat belt, stopping vehicles over the zebra crossing etc. it is difficult for cross road and emergency vehicles to pass through from this junction. this junction needs a cop to closely surveillance and fine the offenders."
Repair of roads as the government road repair people came and broke the road as they told they will put new road as they did not put new road from past 2years please I request you to see over it. Thank you .,repair of roads as the government road repair people came and broke the road as they told they will put new road as they did not put new road from past 2years please i request you to see over it. thank you .
No space to walk on this footpath. It's near the busy 60 feet road connecting Bellary road .,no space to walk on this footpath. it's near the busy 60 feet road connecting bellary road .
"This is about Narasipura lake. It's filled with weeds. It's such a beautiful lake and we need to maintain and beatify in order to get good environment. 
please clean the weeds regularly so that the water is aerated and smell goes off.
Also the sewage water is entering the lake.",this is about narasipura lake. it's filled with weeds. it's such a beautiful lake and we need to maintain and beatify in order to get good environment. please clean the weeds regularly so that the water is aerated and smell goes off. also the sewage water is entering the lake.
"Yesterday in front of my house, they dig the pit and put the sand as if the way the vehicle cannot be taken out. we told them many times and the working people told they'll clear it and went by left it as it was. But for the near home, they did their perfect job by getting money . But we requested them to clear the mud only for the pathway atleast. Now, today, we couldn't able to go outof home even for emergency purpose. I need the responsible solution for it.","yesterday in front of my house, they dig the pit and put the sand as if the way the vehicle cannot be taken out. we told them many times and the working people told they'll clear it and went by left it as it was. but for the near home, they did their perfect job by getting money . but we requested them to clear the mud only for the pathway atleast. now, today, we couldn't able to go outof home even for emergency purpose. i need the responsible solution for it."
"47th Cross, 8th Block Jayanagar Road Maintenance is Neglected. Many Potholes Developed. Not Comfortable & Not Fit for Road Users.","47th cross, 8th block jayanagar road maintenance is neglected. many potholes developed. not comfortable & not fit for road users."
"Most of the roads in Hoysala Nagar/TC Palya road are in pathetic condition. There are many potholes, bumpy & completely uneven roads impacting many people who dwell in the area. Every time we see some people digging these narrow roads, creating a mess. Also there is no proper garbage management system, i see most of the packages are scattered on the road.","most of the roads in hoysala nagar/tc palya road are in pathetic condition. there are many potholes, bumpy & completely uneven roads impacting many people who dwell in the area. every time we see some people digging these narrow roads, creating a mess. also there is no proper garbage management system, i see most of the packages are scattered on the road."
"Need a proper speed breaker/hump in front of Mantri Alpyne apartment, after new lay of Tar, vehicles are driving in high speed and existing speed breaker/hump is not sufficing it's purpose to slow down the vehicles speed, kindly look into it.","need a proper speed breaker/hump in front of mantri alpyne apartment, after new lay of tar, vehicles are driving in high speed and existing speed breaker/hump is not sufficing it's purpose to slow down the vehicles speed, kindly look into it."
"There is high risk of illegal activities. Women and children travel via that road with absolutely no lights. Many drunkards use the place at night. Families are staying more than 2 years in the area, still no steps taken to install the lights. That is the only road to come to the apartment ""VR meadows"" and ""GR gardenia"", and ""DS Max"" .","there is high risk of illegal activities. women and children travel via that road with absolutely no lights. many drunkards use the place at night. families are staying more than 2 years in the area, still no steps taken to install the lights. that is the only road to come to the apartment ""vr meadows"" and ""gr gardenia"", and ""ds max"" ."
Opposite to Shanthinagar Bus stand from one big Water supply pipe water is flowing more to road.,opposite to shanthinagar bus stand from one big water supply pipe water is flowing more to road.
"Drains are filled with stagnant water and there is a huge rise in mosquitoes around. Also at places the drainage overflows to the road. 
Please look into it urgently to desilt and cover up the open drains.

Thank you",drains are filled with stagnant water and there is a huge rise in mosquitoes around. also at places the drainage overflows to the road. please look into it urgently to desilt and cover up the open drains. thank you
"No proper roads from past 10years
started digging in 2013 still not yet completed, no proper way to walk due to mud and digged holes, students, senior citizens and daily workers and all facing countless problems to reach the main road, no ola, no uber and no taxis ready to come to this area due to worst roads, this area became like trekking hill, no one bother about it and we are still have hopes from past 10years, don't know when we can have good life to live in this area","no proper roads from past 10years started digging in 2013 still not yet completed, no proper way to walk due to mud and digged holes, students, senior citizens and daily workers and all facing countless problems to reach the main road, no ola, no uber and no taxis ready to come to this area due to worst roads, this area became like trekking hill, no one bother about it and we are still have hopes from past 10years, don't know when we can have good life to live in this area"
"Many vehicles parked on both side of Borewell road near whitefield post office
Can we avoid it to reduce the traffic",many vehicles parked on both side of borewell road near whitefield post office can we avoid it to reduce the traffic
Drainage overflowing. Causing hygienic issue in and around the place. This issue is there for almost 10 days.,drainage overflowing. causing hygienic issue in and around the place. this issue is there for almost 10 days.
"Too much of patch work, causing unridable roads on begur road. kindly retar the road.","too much of patch work, causing unridable roads on begur road. kindly retar the road."
Please repair this road as soon as possible. we see at least 3 to 4 two wheelers falling due to bad road condition.,please repair this road as soon as possible. we see at least 3 to 4 two wheelers falling due to bad road condition.
"Though Complaints have been raised to respective BBMP authorities, the garbage on road sides and empty sites are NOT cleared on BDA Link Road. The BBMP Garbage collection vehicle does not come to collect garbage on a regular basis. The person comes once a while and on his own will. When asked he said he does not have a specific time or date. He will come whenever he can. He does not provide a signal of his coming as well.","though complaints have been raised to respective bbmp authorities, the garbage on road sides and empty sites are not cleared on bda link road. the bbmp garbage collection vehicle does not come to collect garbage on a regular basis. the person comes once a while and on his own will. when asked he said he does not have a specific time or date. he will come whenever he can. he does not provide a signal of his coming as well."
"Ramamurthy Nagar, T.C Palya main road, roads are in very bad condition it's very difficult ride the bike and too much of dust involved because of that. Residents and shop keeper are suffer of this. Can you please look into the issue as soon as possible and git resolved","ramamurthy nagar, t.c palya main road, roads are in very bad condition it's very difficult ride the bike and too much of dust involved because of that. residents and shop keeper are suffer of this. can you please look into the issue as soon as possible and git resolved"
"Hi , Garbage has not been collected since last 2 weeks!","hi , garbage has not been collected since last 2 weeks!"
"We hardly get water twice in a week that's on every Wednesday and Saturday, but from quite some time water is irregular we hardly receive water. Earlier minimum of 3hrs water flow was there now a days it's just for one hour. Even at the Diwali festival time also there was no water supply. People who have money afford to opt for water tankers how about the people who can't afford. 
Please look into the issue and resolve it ASAP.","we hardly get water twice in a week that's on every wednesday and saturday, but from quite some time water is irregular we hardly receive water. earlier minimum of 3hrs water flow was there now a days it's just for one hour. even at the diwali festival time also there was no water supply. people who have money afford to opt for water tankers how about the people who can't afford. please look into the issue and resolve it asap."
"At the above said location, one side of the road is digged and not fixed and the other side water leakage is happening and road is full of potholes. Attached few pictures. Request to fix the issue and if possible please put tar on both sides.","at the above said location, one side of the road is digged and not fixed and the other side water leakage is happening and road is full of potholes. attached few pictures. request to fix the issue and if possible please put tar on both sides."
The complete stretch of Jeevan Bhima Nagar Main Road requires a Model Foot Path/ Pedestrian Walkway,the complete stretch of jeevan bhima nagar main road requires a model foot path/ pedestrian walkway
"We few families are staying in Chikkaramaiah layout for almost 7 years and our roads are not asphalted. Area is called Jinkethimmanahalli, Varanasi, comes under Mahadevapura (Ward 56 or 54).  Sometime back we had informed corporator when he came . Later they came back saying another layout exist in same area of same name.  But it does not seem correct.  Would request to help us.","we few families are staying in chikkaramaiah layout for almost 7 years and our roads are not asphalted. area is called jinkethimmanahalli, varanasi, comes under mahadevapura (ward 56 or 54). sometime back we had informed corporator when he came . later they came back saying another layout exist in same area of same name. but it does not seem correct. would request to help us."
Street  light  was broken and fell on our hands use wall  by the  Forest Department.  When the Department people  came and  cut the tree branch .So no pole no light . All senior citizens walking in the dark . Kindly fix a new pole and light . It is pitch dark . No action has been taken  . Whom should we contact . Tried calling Mr. Pasha he never picks up the phone .,street light was broken and fell on our hands use wall by the forest department. when the department people came and cut the tree branch .so no pole no light . all senior citizens walking in the dark . kindly fix a new pole and light . it is pitch dark . no action has been taken . whom should we contact . tried calling mr. pasha he never picks up the phone .
"We have been calling bbmp garbage collector 7259219646 but garbage is not collected and its increasing day by day & we dont have place to store.
Pl help us to collect/clear it immediately at Kumari Residency Apt, Muneshwara block 1st cr, Kodichikkanahalli, Bangalore 560076","we have been calling bbmp garbage collector 7259219646 but garbage is not collected and its increasing day by day & we dont have place to store. pl help us to collect/clear it immediately at kumari residency apt, muneshwara block 1st cr, kodichikkanahalli, bangalore 560076"
"Garbage of 30 feet being dumped in empty property, near by buildings walls and getting effected. 

Huge health hazard issue","garbage of 30 feet being dumped in empty property, near by buildings walls and getting effected. huge health hazard issue"
People are burning garbage  everywhere in Lourdu nagae and Swathantra Nagar. This is causing so much air pollution with PM2.5 concentration over 170 PM2.5. Air purifier is showing more than 170 PM2.5 level. which is in red cader whic is poor air quality.,people are burning garbage everywhere in lourdu nagae and swathantra nagar. this is causing so much air pollution with pm2.5 concentration over 170 pm2.5. air purifier is showing more than 170 pm2.5 level. which is in red cader whic is poor air quality.
"The road was dug for laying big pipes, later it is just closed with mud and stones, the road is completely damaged, it requires to be tarred as the traffic in this road too much.","the road was dug for laying big pipes, later it is just closed with mud and stones, the road is completely damaged, it requires to be tarred as the traffic in this road too much."
Pot holes are reappearing just after a month of repairing,pot holes are reappearing just after a month of repairing
"Both are not wearing helmet near Town Hall on February 11th around 2:42pm. Sorry for the late.
Thank you.",both are not wearing helmet near town hall on february 11th around 2:42pm. sorry for the late. thank you.
Street light on 22Bmain  HSR layout 1st sector not working since 2 weeks,street light on 22bmain hsr layout 1st sector not working since 2 weeks
"To Respected BBMP, Mr. Mohan P C, Mr. Raghu, , We need a flyover at Kaggadasapura railway crossing. It is very disgusting since 7yrs that we have to wait hours together to just cross 500mtrs. There are various articles on this in various forums. Request you to do it at the earliest.","to respected bbmp, mr. mohan p c, mr. raghu, , we need a flyover at kaggadasapura railway crossing. it is very disgusting since 7yrs that we have to wait hours together to just cross 500mtrs. there are various articles on this in various forums. request you to do it at the earliest."
Garbage dumped behind Shiva temple near hebbal signal in Subramani nagar,garbage dumped behind shiva temple near hebbal signal in subramani nagar
"Roads in this area in horrible condition, Even can't able to walk in the road. My suggestion is that collect the money from all pgs present in that area and can put the tar because from last 1 it self road become like drainage.","roads in this area in horrible condition, even can't able to walk in the road. my suggestion is that collect the money from all pgs present in that area and can put the tar because from last 1 it self road become like drainage."
"Opposite to Vijaynagar TTMC bus stop (Next to Ayodhya Hotel), a shop owner named Born Kings has encroached the entire pavement and selling clothes. This place has a high footfall with people coming to restuarant, bus stops etc and this is causing a lot of inconvenience.","opposite to vijaynagar ttmc bus stop (next to ayodhya hotel), a shop owner named born kings has encroached the entire pavement and selling clothes. this place has a high footfall with people coming to restuarant, bus stops etc and this is causing a lot of inconvenience."
The road is full of potholes. you can only see potholes and not road,the road is full of potholes. you can only see potholes and not road
Street light at the location mentioned above has not been working since many weeks. It becomes quite uncomfortable for kids and women to pass by the road after 7pm due to darkness and would request a repair.,street light at the location mentioned above has not been working since many weeks. it becomes quite uncomfortable for kids and women to pass by the road after 7pm due to darkness and would request a repair.
"Sir, 
The road opp to Satyanarayana Swamy Temple toward Sapthagiri layout has become horrible to all types of vehicles and even walkers.  The road is filled with full of mud. Kiindly lay proper road on this lane to mitigate the problems of the residents on this lane. 
Thank you. 
D Sita Ramaiah","sir, the road opp to satyanarayana swamy temple toward sapthagiri layout has become horrible to all types of vehicles and even walkers. the road is filled with full of mud. kiindly lay proper road on this lane to mitigate the problems of the residents on this lane. thank you. d sita ramaiah"
None of the street light working in the road.plz look into it.,none of the street light working in the road.plz look into it.
Lot of stray dogs are chasing people in nigh time and barking continuously in night time in Ayyapa nagar. in each street 3 to 8 dogs are roaming.,lot of stray dogs are chasing people in nigh time and barking continuously in night time in ayyapa nagar. in each street 3 to 8 dogs are roaming.
The school does not dispose off the school garbage and plant waste. It keeps on piling it in the ground next to the neighbors house. This has caused mosquitoes and rats to spread around the area. The neighbors have to bare the brunt of this. Please inspect the school premises and the ground attached to it and have them dispose off the garbage,the school does not dispose off the school garbage and plant waste. it keeps on piling it in the ground next to the neighbors house. this has caused mosquitoes and rats to spread around the area. the neighbors have to bare the brunt of this. please inspect the school premises and the ground attached to it and have them dispose off the garbage
"Dear Bescom, 


This is with regards to frequent power cuts happening at Hsr Layout Sector 1, 22nd main. I really don't understand why power cut happens everyday that too midnight.  I have raised numerous complaints to address this issue but none of the times have been actioned. Don't you understand the pain from families who have kids?..I would like to take this matter to higher authorities if not actioned soon.  We can't keep calling everyday and raise complaints.. The engineer who does power cuts is here intentionally..

I sincerely request to take this matter seriously ..


Thanks","dear bescom, this is with regards to frequent power cuts happening at hsr layout sector 1, 22nd main. i really don't understand why power cut happens everyday that too midnight. i have raised numerous complaints to address this issue but none of the times have been actioned. don't you understand the pain from families who have kids?..i would like to take this matter to higher authorities if not actioned soon. we can't keep calling everyday and raise complaints.. the engineer who does power cuts is here intentionally.. i sincerely request to take this matter seriously .. thanks"
"Hi, 

I am living in street next to metro cash and carry in konappana agrahara. The road itself is not there first of all to say. Now there is a hole in middle of the street and there is no light indicator or barricade to cover the damaged area. Anyone is vulnerable to fall into that pit. Pls take urgent action","hi, i am living in street next to metro cash and carry in konappana agrahara. the road itself is not there first of all to say. now there is a hole in middle of the street and there is no light indicator or barricade to cover the damaged area. anyone is vulnerable to fall into that pit. pls take urgent action"
"Dear Sir,
In 3rd main chowdeshwari layout Kodigehalli Near Site No. 19 the street lights are not working, kindly repair it and take action. there is a new house construction going on that road after that house there is one street light pole on left side it's not working .","dear sir, in 3rd main chowdeshwari layout kodigehalli near site no. 19 the street lights are not working, kindly repair it and take action. there is a new house construction going on that road after that house there is one street light pole on left side it's not working ."
Please take the action against the people putting garbage and give a permanent solution for this unhealthy practice.,please take the action against the people putting garbage and give a permanent solution for this unhealthy practice.
"A Very old and rusted vehicle (Auto) is dumped on road side of KR Road, Tata silk farm, Bengaluru 04. Request traffic department to clear the same. Vehicle number: KA 02 A 9272V","a very old and rusted vehicle (auto) is dumped on road side of kr road, tata silk farm, bengaluru 04. request traffic department to clear the same. vehicle number: ka 02 a 9272v"
Garbage is never cleaned up and is instead dumped near Chowdeshwari Temple.,garbage is never cleaned up and is instead dumped near chowdeshwari temple.
The road condition in and around the area is very bad.. and there lot of dust in the area due to this. These roads need to be put tar on.,the road condition in and around the area is very bad.. and there lot of dust in the area due to this. these roads need to be put tar on.
